item_id,hotel_id,city,rows,occ_cells,alerts,template,sg_on,state,options,sg_rows,dup_groups,neg_rows,pos_rows,hotel_name_hint,t_vn
356,alagon-western,Hồ Chí Minh,21,0,0,gọn(không_cột),False,gọn,21,0,8,0,21,Cochin Sang Hotel,2026-09-25 21:11:25
357,elite-sofea-saigon-and-spa,Hồ Chí Minh,17,17,1,có_cột_số_người,True,BẬT(có dòng 1 khách),17,1,1,0,8,Elite SOFEA Saigon Hotel and Spa,2026-09-25 21:11:42
359,mai-gia-huy,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,12,Nicecy Boutique Hotel,2026-09-25 21:12:02
360,little-saigon-boutique-hotel,Hồ Chí Minh,4,0,0,gọn(không_cột),False,gọn,4,0,1,0,4,Little Saigon Boutique Hotel,2026-09-25 21:12:15
361,m-village-nguyen-du,Hồ Chí Minh,9,0,0,gọn(không_cột),False,gọn,9,0,3,0,0,Express by M Village Nguyễn Du,2026-09-25 21:12:29
363,dragon-palace,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,5,Saigonciti Hotel A,2026-09-25 21:12:49
364,gemini-saigon-luxury,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,0,Gemini Saigon LUXURY,2026-09-25 21:13:03
365,na-nue,Hồ Chí Minh,1,0,0,gọn(không_cột),False,gọn,1,0,0,0,1,Na Nue Hotel,2026-09-25 21:13:18
368,galaxy-boutique-hotel,Hồ Chí Minh,11,11,1,có_cột_số_người,True,BẬT(có dòng 1 khách),11,1,0,0,0,Galaxy Boutique Sai Gon Central Hotel,2026-09-25 21:13:38
369,ipeace,Hồ Chí Minh,10,0,0,gọn(không_cột),False,gọn,10,0,0,0,0,Ipeace Hotel - Bùi Viện Walking Street,2026-09-25 21:13:54
372,jan-hostel-central-point,Hồ Chí Minh,15,15,4,có_cột_số_người,True,BẬT(có dòng 1 khách),15,4,4,0,15,Jan Hostel Central Point,2026-09-25 21:14:17
374,apec-wander,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,6,APEC WANDER HOTEL,2026-09-25 21:14:36
375,la-maison-en-adagio-sleep-and-heal,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,0,La Doma en Adagio - Sleep and Heal,2026-09-25 21:14:50
376,chez-mimosa-local-alley,Hồ Chí Minh,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,2,Chez Mimosa Homestay,2026-09-25 21:15:04
377,memories-stay,Hồ Chí Minh,2,2,1,có_cột_số_người,True,BẬT(có dòng 1 khách),2,1,1,0,0,Charming A Little Saigon Apartment - Heart of Vibrant District 1,2026-09-25 21:15:17
378,chez-mimosa-ho-chi-minh,Hồ Chí Minh,7,7,2,có_cột_số_người,True,BẬT(có dòng 1 khách),7,2,2,2,5,Chez Mimosa,2026-09-25 21:15:31
379,the-concept-hcmc-district-1-quan-1,Hồ Chí Minh,7,0,0,gọn(không_cột),False,gọn,7,0,0,0,0,The Concept Hotel HCMC- District 1,2026-09-25 21:15:46
380,g8-riverside-saigon,Hồ Chí Minh,11,0,0,gọn(không_cột),False,gọn,11,0,0,0,4,G8 Riverside Hotel Saigon,2026-09-25 21:16:00
381,a-in-del-luna,Hồ Chí Minh,10,0,0,gọn(không_cột),False,gọn,10,0,0,0,0,A In Hotel Del Luna,2026-09-25 21:16:14
382,otis-balcony-city-view-apartment-saigon-soho-district-1-quan-1,Hồ Chí Minh,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Otis Soho Saigon Balcony Apartment,2026-09-25 21:16:29
383,anthesis-riverside-apartment-masteri-millennium,Hồ Chí Minh,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Aris Soho Balcony Suites Saigon District 1,2026-09-25 21:16:43
384,may-soho-apartment-in-the-city-center,Hồ Chí Minh,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,May Soho Saigon Serviced Apartment,2026-09-25 21:16:56
385,hilton-saigon,Hồ Chí Minh,88,88,33,có_cột_số_người,True,BẬT(có dòng 1 khách),88,33,22,0,66,Hilton Saigon,2026-09-25 21:17:12
386,smile-home-soho-apatment-district-1-500m-from-bui-vien,Hồ Chí Minh,4,4,1,có_cột_số_người,True,BẬT(có dòng 1 khách),4,1,1,0,0,Smile Home - SOHO Apartment balcony - Modern comfortable,2026-09-25 21:17:41
387,2brs-central-city-panoramic-sunset-view,Hồ Chí Minh,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,0,Tommy Homes in SOHO RESIDENCE Central District 1,2026-09-25 21:17:54
388,yu-stay,Hồ Chí Minh,1,0,0,gọn(không_cột),False,gọn,1,0,0,0,0,Yu Stay Apartment in Soho D1 near Bui Vien walking street,2026-09-25 21:18:08
389,orchids,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,5,Orchids Saigon Hotel,2026-09-25 21:18:22
390,g8-diamond-saigon-xuan-hoa,Hồ Chí Minh,16,0,0,gọn(không_cột),False,gọn,16,0,0,0,8,G8 Diamond Hotel Saigon,2026-09-25 21:18:35
391,tao-dan-quan-12,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,5,Tao Dan Hotel,2026-09-25 21:18:51
392,nicecy-truong-quyen,Hồ Chí Minh,9,9,1,có_cột_số_người,True,BẬT(có dòng 1 khách),9,1,1,0,0,Nicecy Hotel - Trương Quyền,2026-09-25 21:19:05
394,gk-central-ho-chi-minh-city,Hồ Chí Minh,13,0,0,gọn(không_cột),False,gọn,13,0,2,0,13,GK Central Hotel,2026-09-25 21:19:24
395,gardenplazasaigonparkroyal,Hồ Chí Minh,20,0,0,gọn(không_cột),False,gọn,20,0,1,0,8,Garden Plaza Saigon - Formerly PARKROYAL Saigon,2026-09-25 21:19:41
396,saigon-riverside-apartment-binh-thanh,Hồ Chí Minh,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Saigon Riverside Apartment,2026-09-25 21:19:58
398,kin-hai-ba-trung,Hồ Chí Minh,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,0,KiN Hotel Onsen,2026-09-25 21:20:15
399,millennium-boutique,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,12,Adora Mira Riverside,2026-09-25 21:20:30
400,kin-thai-van-lung,Hồ Chí Minh,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,12,Kin Hotel Thai Van Lung,2026-09-25 21:20:45
401,the-myst-dong-khoi,Hồ Chí Minh,43,43,17,có_cột_số_người,True,BẬT(có dòng 1 khách),43,17,17,0,35,The Myst Dong Khoi,2026-09-25 21:21:00
402,sohotel,Hồ Chí Minh,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Secret Garden Hotel Phú Nhuận by Urban B,2026-09-25 21:21:20
403,aloha-boutique,Hồ Chí Minh,7,0,0,gọn(không_cột),False,gọn,7,0,2,0,0,Aloha Boutique Hotel,2026-09-25 21:21:34
404,new-world-saigon,Hồ Chí Minh,9,9,2,có_cột_số_người,True,BẬT(có dòng 1 khách),9,2,2,0,6,New World Saigon Hotel,2026-09-25 21:21:48
405,amaya-saigon-boutique,Hồ Chí Minh,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,5,Amaya Saigon Boutique Hotel,2026-09-25 21:22:02
406,the-grand-urban-retreat-at-vinhomes-central-park,Hồ Chí Minh,8,0,0,gọn(không_cột),False,gọn,8,0,4,0,0,The Grand Urban Retreat at Vinhomes Central Park,2026-09-25 21:22:16
407,phong-gia-dinh-gan-ho-hoan-kiem,Hà Nội,12,0,0,gọn(không_cột),False,gọn,12,0,0,0,0,Hanoi Inner Hotel,2026-09-25 21:22:31
408,golden-wings,Hà Nội,14,14,5,có_cột_số_người,True,BẬT(có dòng 1 khách),14,5,5,0,0,Golden Time Hostel 3,2026-09-25 21:22:46
409,fami-boutique,Hà Nội,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,4,Tunger Premium Hotel & Travel,2026-09-25 21:23:03
410,chez-lumi,Hà Nội,3,3,1,có_cột_số_người,True,BẬT(có dòng 1 khách),3,1,1,0,0,Chez Lumi Hotel,2026-09-25 21:23:17
411,lucky-central-amp-travel-hoan-kiem-dist-ha-noi1,Hà Nội,7,0,0,gọn(không_cột),False,gọn,7,0,2,0,0,Lucky Central Hotel & Travel,2026-09-25 21:23:31
412,hanoiswan-hostel,Hà Nội,14,0,0,gọn(không_cột),False,gọn,14,0,0,0,14,Ha Noi Lake View Hotel & Travel,2026-09-25 21:23:45
413,an-hanoi,Hà Nội,5,0,0,gọn(không_cột),False,gọn,5,0,0,0,0,An Nguyen Boutique Hotel,2026-09-25 21:24:02
414,centre-point-hanoi,Hà Nội,2,2,1,có_cột_số_người,True,BẬT(có dòng 1 khách),2,1,1,0,2,Centre Point Hanoi Hotel,2026-09-25 21:24:16
415,silk-hanoi-moment-amp-spa,Hà Nội,9,0,0,gọn(không_cột),False,gọn,9,0,0,0,5,Silk Hanoi Moment Hotel & Spa - Hanoi Old Quarter,2026-09-25 21:24:29
416,sunline,Hà Nội,10,0,0,gọn(không_cột),False,gọn,10,0,0,0,6,Sunline Central Hotel,2026-09-25 21:24:44
417,moon-apartment-3,Hà Nội,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,0,Moon Hotel Apt Phạm Tuấn Tài,2026-09-25 21:24:59
418,maple-garden,Hà Nội,4,0,0,gọn(không_cột),False,gọn,4,0,0,0,0,Hana Stay Trần Quốc Hoàn,2026-09-25 21:25:13
419,newsky-serviced-apartment,Hà Nội,3,0,0,gọn(không_cột),False,gọn,3,0,0,0,0,Newsky Serviced Apartment,2026-09-25 21:25:27
420,era-apartment-center,Hà Nội,2,0,0,gọn(không_cột),False,gọn,2,0,0,0,0,Era Apartment Xuân Thuỷ,2026-09-25 21:25:42
421,bao-hung-apartment-ii,Hà Nội,6,6,2,có_cột_số_người,True,BẬT(có dòng 1 khách),6,2,2,0,6,Bao Hung Hotel & Apartment - Tran Quoc Vuong,2026-09-25 21:25:55
422,hai-muoi-amp-apartment,Hà Nội,6,0,0,gọn(không_cột),False,gọn,6,0,0,0,0,Hai Mươi Hotel & Apartment,2026-09-25 21:26:10
