g0,hotel,checkin,item_id,n,pmin,pmax,n_room,n_rate,n_occ,n_meal,n_pkg,n_bid,ratio,dims
2,hilton-saigon,2026-10-01,1,2,7767900.0,8448300.0,1,1,2,1,1,2,1.0875912408759123,1 khách
3,hilton-saigon,2026-10-01,1,4,9298800.0,13608000.0,1,1,2,2,1,4,1.4634146341463414,1 khách + bữa ăn
6,hilton-saigon,2026-10-01,1,2,7484400.0,8164800.0,1,1,2,1,1,2,1.0909090909090908,1 khách
7,hilton-saigon,2026-10-01,1,4,8958600.0,13267800.0,1,1,2,2,1,4,1.481012658227848,1 khách + bữa ăn
10,hilton-saigon,2026-10-01,1,2,9072000.0,9752400.0,1,1,2,1,1,2,1.075,1 khách
11,hilton-saigon,2026-10-01,1,4,10886400.0,15195600.0,1,1,2,2,1,4,1.3958333333333333,1 khách + bữa ăn
14,hilton-saigon,2026-10-01,1,2,7200900.0,7881300.0,1,1,2,1,1,2,1.094488188976378,1 khách
15,hilton-saigon,2026-10-01,1,4,8618400.0,12927600.0,1,1,2,2,1,4,1.5,1 khách + bữa ăn
18,hilton-saigon,2026-10-01,1,2,9128700.0,9809100.0,1,1,2,1,1,2,1.0745341614906831,1 khách
19,hilton-saigon,2026-10-01,1,4,10999800.0,15309000.0,1,1,2,2,1,4,1.3917525773195876,1 khách + bữa ăn
22,hilton-saigon,2026-10-01,1,2,10546200.0,11226600.0,1,1,2,1,1,2,1.064516129032258,1 khách
23,hilton-saigon,2026-10-01,1,4,12700800.0,17010000.0,1,1,2,2,1,4,1.3392857142857142,1 khách + bữa ăn
26,hilton-saigon,2026-10-01,1,2,7200900.0,7881300.0,1,1,2,1,1,2,1.094488188976378,1 khách
27,hilton-saigon,2026-10-01,1,4,8618400.0,12927600.0,1,1,2,2,1,4,1.5,1 khách + bữa ăn
30,hilton-saigon,2026-10-01,1,2,7484400.0,8164800.0,1,1,2,1,1,2,1.0909090909090908,1 khách
31,hilton-saigon,2026-10-01,1,4,8958600.0,13267800.0,1,1,2,2,1,4,1.481012658227848,1 khách + bữa ăn
34,hilton-saigon,2026-10-01,1,2,15479100.0,16159500.0,1,1,2,1,1,2,1.043956043956044,1 khách
35,hilton-saigon,2026-10-01,1,4,18711000.0,23020200.0,1,1,2,2,1,4,1.2303030303030302,1 khách + bữa ăn
38,hilton-saigon,2026-10-01,1,2,9355500.0,10035900.0,1,1,2,1,1,2,1.0727272727272728,1 khách
39,hilton-saigon,2026-10-01,1,4,11226600.0,15535800.0,1,1,2,2,1,4,1.3838383838383839,1 khách + bữa ăn
