hotel,checkin,n1,n2,shared,jaccard,run1_kept,new_in_run2
22land-residence-2,2026-10-01,20,20,20,1.0,1.0,0
22land-residence-2,2026-10-11,9,9,9,1.0,1.0,0
22land-residence-2,2026-11-18,20,23,20,0.8695652173913043,1.0,3
b-amp-k-homestay-glocery-store,2026-10-01,8,5,5,0.625,0.625,0
b-amp-k-homestay-glocery-store,2026-10-11,2,2,2,1.0,1.0,0
b-amp-k-homestay-glocery-store,2026-11-18,10,7,7,0.7,0.7,0
diamond-sea-vung-tau,2026-10-01,16,16,16,1.0,1.0,0
diamond-sea-vung-tau,2026-10-11,16,16,16,1.0,1.0,0
diamond-sea-vung-tau,2026-11-18,16,16,16,1.0,1.0,0
dusit-le-palais-tu-hoa-hanoi,2026-10-01,74,47,47,0.6351351351351351,0.6351351351351351,0
dusit-le-palais-tu-hoa-hanoi,2026-10-11,72,47,45,0.6081081081081081,0.625,2
dusit-le-palais-tu-hoa-hanoi,2026-11-18,74,45,45,0.6081081081081081,0.6081081081081081,0
gardenplazasaigonparkroyal,2026-10-01,21,21,21,1.0,1.0,0
gardenplazasaigonparkroyal,2026-10-11,21,21,21,1.0,1.0,0
gardenplazasaigonparkroyal,2026-11-18,29,29,29,1.0,1.0,0
hilton-saigon,2026-10-01,96,55,55,0.5729166666666666,0.5729166666666666,0
hilton-saigon,2026-10-11,88,55,55,0.625,0.625,0
hilton-saigon,2026-11-18,88,55,55,0.625,0.625,0
ibis-styles-vung-tau,2026-10-01,42,21,21,0.5,0.5,0
ibis-styles-vung-tau,2026-10-11,42,21,21,0.5,0.5,0
ibis-styles-vung-tau,2026-11-18,56,28,28,0.5,0.5,0
intercontinental-westlake,2026-10-01,39,39,39,1.0,1.0,0
intercontinental-westlake,2026-10-11,69,69,69,1.0,1.0,0
intercontinental-westlake,2026-11-18,58,58,58,1.0,1.0,0
mercure-vung-tau-vietnam,2026-10-01,54,27,27,0.5,0.5,0
mercure-vung-tau-vietnam,2026-10-11,54,27,27,0.5,0.5,0
mercure-vung-tau-vietnam,2026-11-18,54,27,27,0.5,0.5,0
movenpick-residences-phu-quoc,2026-10-01,40,20,20,0.5,0.5,0
movenpick-residences-phu-quoc,2026-10-11,40,20,20,0.5,0.5,0
movenpick-residences-phu-quoc,2026-11-18,22,11,11,0.5,0.5,0
pearl-wealth-da-lat,2026-10-01,10,8,8,0.8,0.8,0
pearl-wealth-da-lat,2026-10-11,10,8,8,0.8,0.8,0
pearl-wealth-da-lat,2026-11-18,10,8,8,0.8,0.8,0
roma,2026-10-01,8,10,8,0.8,1.0,2
roma,2026-10-11,9,12,9,0.75,1.0,3
roma,2026-11-18,11,18,11,0.6111111111111112,1.0,7
sol-phu-quoc,2026-10-01,37,37,37,1.0,1.0,0
sol-phu-quoc,2026-10-11,42,42,42,1.0,1.0,0
starview-villa,2026-10-01,16,10,10,0.625,0.625,0
starview-villa,2026-10-11,16,10,10,0.625,0.625,0
starview-villa,2026-11-18,14,8,8,0.5714285714285714,0.5714285714285714,0
taladalat-thanh-pho-da-lat123,2026-10-01,12,14,12,0.8571428571428571,1.0,2
taladalat-thanh-pho-da-lat123,2026-10-11,12,14,12,0.8571428571428571,1.0,2
taladalat-thanh-pho-da-lat123,2026-11-18,16,16,16,1.0,1.0,0
the-imperial-vung-tau,2026-10-01,96,96,94,0.9591836734693877,0.9791666666666666,2
the-imperial-vung-tau,2026-10-11,115,116,114,0.9743589743589743,0.991304347826087,2
the-imperial-vung-tau,2026-11-18,115,115,114,0.9827586206896551,0.991304347826087,1
the-myst-dong-khoi,2026-10-01,30,18,18,0.6,0.6,0
the-myst-dong-khoi,2026-10-11,43,26,26,0.6046511627906976,0.6046511627906976,0
the-myst-dong-khoi,2026-11-18,40,26,24,0.5714285714285714,0.6,2
vinhomes-ocean-park-bunnys-homes-nature-room,2026-10-01,12,11,11,0.9166666666666666,0.9166666666666666,0
vinhomes-ocean-park-bunnys-homes-nature-room,2026-10-11,12,11,11,0.9166666666666666,0.9166666666666666,0
vinhomes-ocean-park-bunnys-homes-nature-room,2026-11-18,12,11,11,0.9166666666666666,0.9166666666666666,0
