hotel,checkin,bid,fam,c3,sg,in_other,p2,p1,only1,vs
22land-residence-2,2026-10-01,bbasic_0,"('bbasic_0',)",?,False,False,905169.0,,False,run1
22land-residence-2,2026-10-01,1552871001_427146946_0_1_0,"('1552871001', '427146946', '1', '0', '')",0,False,True,958968.0,958968.0,False,run1
22land-residence-2,2026-10-01,1552871001_437413543_2_1_0_1335003,"('1552871001', '437413543', '1', '0', '1335003')",N>=2,False,True,1009440.0,1009440.0,False,run1
22land-residence-2,2026-10-01,1552871002_bbasic_0,"('1552871002_bbasic_0',)",0,False,False,929359.0,,False,run1
22land-residence-2,2026-10-01,1552871002_427146946_2_1_0,"('1552871002', '427146946', '1', '0', '')",N>=2,False,True,984960.0,984960.0,False,run1
22land-residence-2,2026-10-01,1552871002_437413543_2_1_0_1335003,"('1552871002', '437413543', '1', '0', '1335003')",N>=2,False,True,1036800.0,1036800.0,False,run1
22land-residence-2,2026-10-01,1552871003_bbasic_0,"('1552871003_bbasic_0',)",0,False,False,989443.0,,False,run1
22land-residence-2,2026-10-01,1552871003_427146946_0_1_0,"('1552871003', '427146946', '1', '0', '')",0,False,True,1048572.0,1048572.0,False,run1
22land-residence-2,2026-10-01,1552871003_437413543_2_1_0_1335003,"('1552871003', '437413543', '1', '0', '1335003')",N>=2,False,True,1103760.0,1103760.0,False,run1
22land-residence-2,2026-10-01,1552871004_bbasic_0,"('1552871004_bbasic_0',)",0,False,False,1050048.0,,False,run1
22land-residence-2,2026-10-01,1552871004_427146946_0_1_0,"('1552871004', '427146946', '1', '0', '')",0,False,True,1114920.0,1114920.0,False,run1
22land-residence-2,2026-10-01,1552871004_437413543_2_1_0_1335003,"('1552871004', '437413543', '1', '0', '1335003')",N>=2,False,True,1173600.0,1173600.0,False,run1
22land-residence-2,2026-10-01,1552871005_427146946_0_1_0,"('1552871005', '427146946', '1', '0', '')",0,False,True,1176480.0,1176480.0,False,run1
22land-residence-2,2026-10-01,1552871005_437413543_2_1_0_1335003,"('1552871005', '437413543', '1', '0', '1335003')",N>=2,False,True,1238400.0,1238400.0,False,run1
22land-residence-2,2026-10-01,1552871006_427146946_0_1_0,"('1552871006', '427146946', '1', '0', '')",0,False,True,1176480.0,1176480.0,False,run1
22land-residence-2,2026-10-01,1552871006_437413543_2_1_0_1335003,"('1552871006', '437413543', '1', '0', '1335003')",N>=2,False,True,1238400.0,1238400.0,False,run1
22land-residence-2,2026-10-01,1552871007_427146946_0_1_0,"('1552871007', '427146946', '1', '0', '')",0,False,True,1244880.0,1244880.0,False,run1
22land-residence-2,2026-10-01,1552871007_437413543_2_1_0_1335003,"('1552871007', '437413543', '1', '0', '1335003')",N>=2,False,True,1310400.0,1310400.0,False,run1
22land-residence-2,2026-10-01,1552871008_427146946_0_1_0,"('1552871008', '427146946', '1', '0', '')",0,False,True,1928880.0,1928880.0,False,run1
22land-residence-2,2026-10-01,1552871008_437413543_4_1_0_1335003,"('1552871008', '437413543', '1', '0', '1335003')",N>=2,False,True,2030400.0,2030400.0,False,run1
22land-residence-2,2026-10-11,bbasic_0,"('bbasic_0',)",?,False,False,989443.0,,False,run1
22land-residence-2,2026-10-11,1552871003_427146946_0_1_0,"('1552871003', '427146946', '1', '0', '')",0,False,True,1048572.0,1048572.0,False,run1
22land-residence-2,2026-10-11,1552871003_437413543_2_1_0_1335003,"('1552871003', '437413543', '1', '0', '1335003')",N>=2,False,True,1103760.0,1103760.0,False,run1
22land-residence-2,2026-10-11,1552871004_bbasic_0,"('1552871004_bbasic_0',)",0,False,False,1049788.0,,False,run1
22land-residence-2,2026-10-11,1552871004_427146946_0_1_0,"('1552871004', '427146946', '1', '0', '')",0,False,True,1114920.0,1114920.0,False,run1
22land-residence-2,2026-10-11,1552871004_437413543_2_1_0_1335003,"('1552871004', '437413543', '1', '0', '1335003')",N>=2,False,True,1173600.0,1173600.0,False,run1
22land-residence-2,2026-10-11,1552871005_bbasic_0,"('1552871005_bbasic_0',)",0,False,False,1110133.0,,False,run1
22land-residence-2,2026-10-11,1552871005_427146946_0_1_0,"('1552871005', '427146946', '1', '0', '')",0,False,True,1176480.0,1176480.0,False,run1
22land-residence-2,2026-10-11,1552871005_437413543_2_1_0_1335003,"('1552871005', '437413543', '1', '0', '1335003')",N>=2,False,True,1238400.0,1238400.0,False,run1
22land-residence-2,2026-11-18,bbasic_0,"('bbasic_0',)",?,False,False,909851.0,,False,run1
22land-residence-2,2026-11-18,1552871001_427146946_0_1_0,"('1552871001', '427146946', '1', '0', '')",0,False,True,958968.0,958968.0,False,run1
22land-residence-2,2026-11-18,1552871001_437413543_2_1_0_1335003,"('1552871001', '437413543', '1', '0', '1335003')",N>=2,False,True,1009440.0,1009440.0,False,run1
22land-residence-2,2026-11-18,1552871002_bbasic_0,"('1552871002_bbasic_0',)",0,False,False,934041.0,,False,run1
22land-residence-2,2026-11-18,1552871002_427146946_2_1_0,"('1552871002', '427146946', '1', '0', '')",N>=2,False,True,984960.0,984960.0,False,run1
22land-residence-2,2026-11-18,1552871002_437413543_2_1_0_1335003,"('1552871002', '437413543', '1', '0', '1335003')",N>=2,False,True,1036800.0,1036800.0,False,run1
22land-residence-2,2026-11-18,1552871003_bbasic_0,"('1552871003_bbasic_0',)",0,False,False,994385.0,,False,run1
22land-residence-2,2026-11-18,1552871003_427146946_0_1_0,"('1552871003', '427146946', '1', '0', '')",0,False,True,1048572.0,1048572.0,False,run1
22land-residence-2,2026-11-18,1552871003_437413543_2_1_0_1335003,"('1552871003', '437413543', '1', '0', '1335003')",N>=2,False,True,1103760.0,1103760.0,False,run1
