item_id,hotel_id,checkin,room_option_index,room_type_raw,price_per_night,original_price,discount_percent,breakfast_included,free_cancellation,max_occupancy,rik,rpk,g0,g0_size,dom_dom_idx,dom_block_id,dom_bid_room,dom_bid_rate,dom_bid_occ,dom_bid_meal,dom_bid_pkg,dom_occ_max,dom_only_for,single_guest,meal,cancel,pay,perks,badges_text,match_kind
1,hilton-saigon,2026-10-01,0,Phòng có Giường cỡ King,6509160.00,,,0,0,2.0,c428ad8b,1b6f0e44,25,1,0,1110458701_384026274_2_42_0,1110458701,384026274,2,42,,2.0,,False,Bữa sáng Tuyệt vời - VND 924.000,Không hoàn tiền,• Thanh toán cho chỗ nghỉ trước khi đến,,,price_attr
1,hilton-saigon,2026-10-01,1,Phòng có Giường cỡ King,7881300.00,,,1,0,2.0,c428ad8b,42ee661d,26,2,1,1110458701_384026274_2_41_0,1110458701,384026274,2,41,,2.0,,False,Bao gồm bữa sáng tuyệt vời,Không hoàn tiền,• Thanh toán cho chỗ nghỉ trước khi đến,,,price_attr
1,hilton-saigon,2026-10-01,2,Phòng có Giường cỡ King,7938000.00,,,0,1,2.0,c428ad8b,04acc096,24,1,2,1110458701_384026154_2_42_0,1110458701,384026154,2,42,,2.0,,False,Bữa sáng Tuyệt vời - VND 924.000,"Hủy miễn phí trước 1 tháng 10, 2026",Không cần thanh toán trước - thanh toán tại chỗ nghỉ,,,price_attr
1,hilton-saigon,2026-10-01,3,Phòng có Giường cỡ King,9298800.00,,,1,1,2.0,c428ad8b,71f409e6,27,4,3,1110458701_384026154_2_41_0,1110458701,384026154,2,41,,2.0,,False,Bao gồm bữa sáng tuyệt vời,"Hủy miễn phí trước 1 tháng 10, 2026",Không cần thanh toán trước - thanh toán tại chỗ nghỉ,,,price_attr
1,hilton-saigon,2026-10-01,4,Phòng có Giường cỡ King,12927600.00,,,1,1,2.0,c428ad8b,71f409e6,27,4,4,1110458701_384026154_2_25_0,1110458701,384026154,2,25,,2.0,,False,Bao bữa sáng & bữa tối,"Hủy miễn phí trước 1 tháng 10, 2026",Không cần thanh toán trước - thanh toán tại chỗ nghỉ,,,price_attr
1,hilton-saigon,2026-10-01,5,Phòng có Giường cỡ King,7200900.00,,,1,0,2.0,c428ad8b,42ee661d,26,2,5,1110458701_384026274_1_41_0,1110458701,384026274,1,41,,1.0,Chỉ dành cho 1 khách,True,Bao gồm bữa sáng tuyệt vời,Không hoàn tiền,• Thanh toán cho chỗ nghỉ trước khi đến,,,price_attr
1,hilton-saigon,2026-10-01,6,Phòng có Giường cỡ King,8618400.00,,,1,1,2.0,c428ad8b,71f409e6,27,4,6,1110458701_384026154_1_41_0,1110458701,384026154,1,41,,1.0,Chỉ dành cho 1 khách,True,Bao gồm bữa sáng tuyệt vời,"Hủy miễn phí trước 1 tháng 10, 2026",Không cần thanh toán trước - thanh toán tại chỗ nghỉ,,,price_attr
1,hilton-saigon,2026-10-01,7,Phòng có Giường cỡ King,10432800.00,,,1,1,2.0,c428ad8b,71f409e6,27,4,7,1110458701_384026154_1_25_0,1110458701,384026154,1,25,,1.0,Chỉ dành cho 1 khách,True,Bao bữa sáng & bữa tối,"Hủy miễn phí trước 1 tháng 10, 2026",Không cần thanh toán trước - thanh toán tại chỗ nghỉ,,,price_attr
1,hilton-saigon,2026-10-01,8,Phòng có Giường cỡ King Nhìn ra Thành phố,6788124.00,,,0,0,2.0,1acc1ded,1b6f0e44,5,1,8,1110458709_384026274_2_42_0,1110458709,384026274,2,42,,2.0,,False,Bữa sáng Tuyệt vời - VND 924.000,Không hoàn tiền,• Thanh toán cho chỗ nghỉ trước khi đến,,,price_attr
1,hilton-saigon,2026-10-01,9,Phòng có Giường cỡ King Nhìn ra Thành phố,8164800.00,,,1,0,2.0,1acc1ded,42ee661d,6,2,9,1110458709_384026274_2_41_0,1110458709,384026274,2,41,,2.0,,False,Bao gồm bữa sáng tuyệt vời,Không hoàn tiền,• Thanh toán cho chỗ nghỉ trước khi đến,,,price_attr
